date,gdp,unemp,ffr,infl,inv,cons,lab,lab_share,lab_prod,tfp,ff4,onrun10,ir_1,ir_2,ir_3,rr_1,rr_2,rr_3,rr_4,gk_var_1,gk_var_2,mp1_tc,ff4_tc,ed2_tc,ed3_tc,ed4_tc,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,mar_raw,mar_svariv,ad,lpcom
1990.75,10.52018556,6.133333333,1.935833333,0.007414595,9.084700956,9.947484533,17.68646852,4.719186135,4.111873365,4.179566144,-0.07,0,,,,-0.29553415,-0.2959641,-0.1521085,-0.160042268,0.100958684,0.1080401,-0.056674833,-0.0399967,-0.020107533,-0.017419367,-0.0083871,-0.053333333,-0.069996667,-0.043333333,-0.0140458,0.002522933,-0.007043,,0.510545177,0.009516144,5.572665777
1991,10.51241038,6.6,1.606666667,0.009745025,9.047072809,9.93970935,17.67576976,4.712804115,4.114947523,4.185631508,-0.1233,0,,,,-0.02418447,-0.0246575,0.0402715,-0.07269684,-0.095850869,-0.050838391,-0.122218567,-0.144731167,-0.111075233,-0.086559167,-0.0601075,-0.063333333,-0.123333333,-0.096666667,-0.003380033,0.0050167,-0.001881933,-0.033281767,0.053260944,-0.006674918,5.545991742
1991.25,10.51699611,6.833333333,1.465833333,0.007319421,9.042962835,9.944295083,17.67081651,4.710439698,4.131110341,4.195395806,-0.07,0,,,,0.26233321,0.2621248,0.2334903,0.308570205,-0.136386729,-0.088697374,-0.061159967,-0.078602133,-0.078817233,-0.069354833,-0.0715054,0.003333333,-0.07,-0.07,0.0124409,-0.000523067,0.006482667,-0.020778467,-0.613430626,0.02894727,5.52725597
1991.5,10.51848398,6.866666667,1.410833333,0.007781076,9.053146416,9.942230555,17.67113331,4.707239291,4.139636551,4.192604931,-0.0233,-0.007,,,,0.06374891,0.0632367,0.0716177,0.196921717,-0.132852743,-0.005019315,-0.0312547,-0.023333333,-0.030000033,-0.016,-0.02,-0.046666667,-0.023333333,-0.03,0.017298367,0.018294033,0.0190904,0.0480148,-0.501050629,0.033939688,5.495376229
1991.75,10.51853805,7.1,1.204166667,0.00591673,9.05752014,9.942284618,17.66335002,4.712373004,4.144324495,4.189806246,-0.1367,-0.0463,,,,-0.04273797,-0.0422805,0.0067029,0.138958855,-0.181889269,-0.004503416,-0.094050467,-0.0868817,-0.075913967,-0.0571183,-0.043010733,-0.073333333,-0.136666667,-0.133333333,0.007308567,0.008333467,0.0046255,-0.0285941,-0.691191888,-0.050778829,5.490116102
1992,10.52749899,7.366666667,1.005833333,0.003710245,9.049089344,9.958337793,17.66551677,4.716380558,4.163948358,4.228000947,0,-0.0013,,,,-0.13034497,-0.1301135,-0.0160252,-0.117093477,0.080823735,0.000303198,-0.061924833,-0.049784933,-0.060752667,-0.053548367,-0.036989267,0.003333333,0,-0.003333333,0.0013008,0.001873067,0.003298467,0.007702033,0.312316492,0.03729939,5.47452949
1992.25,10.53494548,7.6,0.9425,0.005994352,9.082511319,9.964015934,17.66697912,4.713109374,4.172416098,4.222994267,-0.0633,-0.0207,,,,0.14817133,0.1483289,0.1536554,0.16071476,-0.166053505,-0.046738966,-0.067979967,-0.063336733,-0.076666667,-0.07,-0.0766667,-0.046666667,-0.063336667,-0.076666667,0.001838267,0.008425733,0.0096322,-0.046121867,-0.467816706,-0.000375381,5.503882779
1992.5,10.5410956,7.633333333,0.814166667,0.004876535,9.088661432,9.971934395,17.66518744,4.710700687,4.181347606,4.225080384,-0.0933,0.008,,,,-0.09037669,-0.0905087,-0.0479476,0.035110294,-0.136837052,-0.011908147,-0.019896667,-0.093666667,0.0003333,0.007,0.010666633,-0.023333333,-0.093333333,0,-0.023741167,-0.078228567,0.0133263,-0.090461667,-0.785859617,-0.041621907,5.505134811
1992.75,10.54802205,7.366666667,0.759166667,0.006858149,9.104098579,9.980626078,17.66575698,4.702505586,4.187318682,4.222371248,0,0.0007,,,,-0.44124412,-0.4403396,-0.2830335,-0.349553384,0.000412401,0.000254724,-0.0129153,0.002698967,0.0020323,0.002032267,-0.0012043,-0.003336667,0,0,-0.008530433,0.028232867,0.007778833,0.037792967,0.236530787,-0.016904583,5.47696786
1993,10.5467352,7.133333333,0.76,0.005596413,9.115443477,9.981101344,17.66820404,4.696791753,4.178670392,4.195659405,-0.0067,0.0013,,,,0.03154362,0.0320153,0.0629891,0.029638072,-0.119694996,-0.035072445,0.009161933,-0.009032267,-0.0023656,0.000967733,-0.0060215,-0.003333333,-0.006666667,0,-0.014069133,0.00000773,-0.000340567,-0.002127867,-0.382690043,-0.021281405,5.474355237
